"ID","PROJECT_ID","PROJECT_REACH_UNIT","PROJECT_REACH_TARGET","PROJECT_REACH_ACTUAL","PROJECT_TARGET_GROUPS"
120,163,,"67 dedicated donors","84000 people have been lifted out of extreme poverty.",extreme poor
121,164,,"","84000 people have been lifted out of extreme poverty.",extreme poor
122,165,,"67","34",adolescent girls
123,166,,"12989368","29  493 children and youths",marginalized urban children and youth from all forms of abuse.
124,167,,"","140191",marginalized urban children and youth
125,168,,"908 households","908 households",poor and underprivileged community
126,169,,"1760","1788 households",rural poor women.
127,170,,"","",children.
128,171,,"","",children everywhere.
129,172,,"","",young adults
130,173,,"","",children everywhere.
131,174,,"","20000",girls adolescents and youth
132,175,,"","20000",girls adolescents and youth
133,176,,"","",youth
134,177,,"","",local youth
135,178,,"100%","4143 families.",young men and women
136,179,,"100%","4143 families.",remote villages.
137,180,,"3000 volunteers","116000 households",low-income families
138,181,,"118229 Hours volunteered","374384",older adults.
139,182,,"98000","116000",those living in poor housing conditions
140,183,,"100 million","6125","30000 farming families"
141,184,,"5959","",small-scale farmers to markets
142,185,,"8.1",more than 80000 people,expecting mothers
143,186,,"80000 people","80000",rural women
144,187,,over 84 people a month.,over 84 people a month.,the family unit to which the senior or child belongs.
145,188,,"",thousands,senior citizens and young children.
146,189,,"",over 84 people a month.,the family unit to which the senior or child belongs.
147,190,,"","",ensuring that the wellbeing of children
148,191,,"",over 23 000,the most impoverished and vulnerable school communities.
149,192,,"","26 million",vulnerable adolescent girls
150,193,,"30 000",over 26 million,orphans and vulnerable children
151,194,,empower children to fulfil their dreams.,"75",we provide a loving and stable environment the opportunity for education and empower children to fulfil their dreams.
152,195,,"",over 1000 pupils.,Olgapuri children
153,196,,"",over 1000 pupils.,children and youth
154,197,,"198780","198780",most vulnerable populations
155,198,,"","10 million people",boys and girls
156,199,,"8438","10 million",Safe (DREAMS) women
157,200,,"74663 people","63901",""
158,201,,"","",communities
159,202,,"","74663 people",""
160,203,,"","",expand the uptake of preterm birth
161,204,,"","",newborn care into community networks referral systems and health services
162,205,,"","",newborn care
163,206,,"","",vulnerable children
164,207,,"130",over 130,over 130 Women Empowered groups
165,208,,"",over 3000 women and children each year,mothers children and families
166,209,,"","9323",high risk informal urban settlements
167,210,,over 144000 households.,(624000 population),poor and vulnerable population
168,211,,over 144000 households.,over 144000 households.,whole of the deprived population
169,212,,"",over 144000 households.,mainstream poor and vulnerable population
170,213,,"261 350","261 350",extremely poor and isolated communities
171,214,,"261 350","20 Mandevi",less than 20% of the population have a secure food supply all year round.
172,215,,"20 Mandevi","20 Mandevi",involving the /oca/ community in the whole process.
173,216,,"",seven,marginalised communities.
174,217,,"","",poor communities.
175,218,,"","11",""
176,219,,"200","",""
177,220,,"200","200",vulnerable youth
178,221,,"","",""
179,222,,"200",nearly 200,"200 male and female youth and adults"
180,223,,over 650,"",young men
181,224,,"","",young men
182,225,,"","",young men
183,226,,"12000","12000",local womens collectives
184,227,,"","",teen girls everywhere
185,228,,volunteer hours donated,hundreds,teen girls everywhere
186,229,,"","2.5 million",children from 6 months to 6 years old.
187,230,,"25 million people","17000",prospective migrants and their families
188,231,,"","19",new communities
189,232,,"","4900",Beneficiaries
190,233,,"","4900",Beneficiaries
191,234,,"50000","50000",smart students of most vulnerable to study
192,235,,one million,"80% of the population",young farmer
193,236,,"500000","2064",female political candidates.
194,237,,"2000","2064 people",young girls-at-risk
195,238,,"500000 women","2064",female farmers
196,239,,"170","2064",girls at risk
197,240,,"125",hundreds of thousands,our clients
198,241,,"",hundreds of thousands,all women thrive.
199,242,,"","",""
200,243,,"6.1m","181041 people.","128142 people to escape poverty."
201,244,,"","45.8 million",marginalized and vulnerable people
202,245,,"6.1m","6.1m",marginalized and vulnerable people
203,246,,"",over 50000,People living in poverty
204,247,,"",more than 800 families,women and girls
205,248,,"","200 children and adults.",landless rural households
206,249,,"","",young adults are becoming more and more self-sustaining
207,250,,"20+ women","20+","20+ women"
208,251,,"18000","00800 60000",vulnerable adults and children.
209,252,,"13000","00800 60000",people living in poverty
210,253,,"","",students coming from low-income families.
211,254,,over 19000,over 19000,farming and pastoral communities
212,255,,"320",over 2500,out-of-school students
213,256,,hundreds of thousands more,"900+",micro-entrepreneurs.
214,257,,"9","39",young people
215,258,,"30","30","30 women entrepreneurs"
216,259,,"16","39",young people
217,260,,"","",prepare students
218,261,,"",all women and girls.,all women and girls.
219,262,,"98 million","98 million",marginalised children
220,263,,"",Number of children reached by the truth about Drugs (In 3 provinces),peer educators/ volunteers gathered into school clubs in secon- dary schools for wider attempt of drug preven- tion activities among students and community.
221,264,,"3500",Around 3500,students of high schools
222,265,,"3500","3500",holydays without uniforms
223,266,,"100%","9562193",people in need.
224,267,,"7700 people",more than 7700,water projects around the world.
225,268,,"","280 million",poorest children
226,269,,"","4 million children a year",every last child fully experiences childhood.
227,270,,"",over 900000* households,small-scale farmers
228,271,,"","3.1 million",rural farmers have access to quality seeds and fertilizer.
229,272,,"130",over 900000* households,small-scale farmers
230,273,,Seventeen partners are now committed to the roadmap for achieving SDG 6,"",poorest in the global
231,274,,(E17.28).,more than 1400,vulnerable communities
232,275,,"50 million","",those being left behind.
233,276,,"",over 228000 children,girls
234,277,,"",Nearly one million students from 33 countries have taken part in disaster risk reduction activities in three years,girls
235,278,,"16 million people includind93 inillion children.","10 million",Children
236,279,,"","5300",kids dealing with trauma from problems like poverty community violence or abuse.
237,280,,"","10 million",children
238,281,,"","",existing supporters
