"ID","PROJECT_ID","PERIOD_START","PERIOD_END","AMOUNT","CURRENCY","VALUE_DATE"
203,263,Around 3500 people including students of high schools are sensitized on drug abuse prevention.,"",,"",
204,264,Around 3500 people including students of high schools are sensitized on drug abuse prevention.,"",,"",
205,265,"","",,June 2017 2800 x 8400 20 x 3 60 16800 120,
206,266,"2018","",,over $3.8 million in 2018 to support charity: waters programs and operations—including nearly $500000 from the Waterwalks alone! 20 COMMUNITY HIGHLIGHTS THE WELL The Well community expanded to 132 Members in 2018 including three Angel-level Members for a ,
207,267,water projects around the world.,"",,"100% of the authors net proceeds from the sale of Thirst will fund charity:",
208,268,"","",,$437 million,
209,269,"","",,$437 million,
210,270,"","",,($1 000+),
211,271,($1 000+),"",,(financed by IFAD),
212,272,"","",,$6 million,
213,273,"","",,€ 81,
214,274,€ 140,"",,(E18.75).,
215,275,"","",,"7 donors € 692",
216,276,"","",,$2bn,
217,277,Nearly one million students from 33 countries have taken part in disaster risk reduction activities in three years,Some 85 percent of children in low-income countries do not have access to preschool education.,,"",
218,278,"2018 our generous supporters helped us achieve record revenue","",,$881 million,
219,279,anchor and managing editor,$1,,$100000,
220,280,"","",,($500000 - $999999),
221,281,Protecting children in conflict and changing behaviors that expose children to violence Drive high quality programs and advocacy,"",,"",
